idno,autor,titulo,subtitulo,anio,decada,genero,subgenero,genero_autor,archivo
ne0200,Federico García Lorca,Fray Antonio,poema raro,1917,1910s,novela,bildungsroman,male,Textos por decada/1910s/Federico García Lorca - Fray Antonio. poema raro (1917) [ne0200].txt
ne0048,Gabriel Miró,Las cerezas del cementerio,,1910,1910s,novela,sentimental,male,Textos por decada/1910s/Gabriel Miró - Las cerezas del cementerio (1910) [ne0048].txt
ne0050,Gabriel Miró,Los pies y los zapatos de Enriqueta,,1912,1910s,novela,realist,male,Textos por decada/1910s/Gabriel Miró - Los pies y los zapatos de Enriqueta (1912) [ne0050].txt
ne0052,Gabriel Miró,El abuelo del rey,,1915,1910s,novela,realist,male,Textos por decada/1910s/Gabriel Miró - El abuelo del rey (1915) [ne0052].txt
ne0053,Gabriel Miró,Dentro del cercado,,1916,1910s,novela,sentimental,male,Textos por decada/1910s/Gabriel Miró - Dentro del cercado (1916) [ne0053].txt
ne0054,Gabriel Miró,Figuras de la Pasión del Señor 1,,1916,1910s,novela,historical,male,Textos por decada/1910s/Gabriel Miró - Figuras de la Pasión del Señor 1 (1916) [ne0054].txt
ne0055,Gabriel Miró,Figuras de la Pasión del Señor 2,,1917,1910s,novela,historical,male,Textos por decada/1910s/Gabriel Miró - Figuras de la Pasión del Señor 2 (1917) [ne0055].txt
ne0056,Gabriel Miró,Libro de Sigüenza,,1917,1910s,novela,autobiographical,male,Textos por decada/1910s/Gabriel Miró - Libro de Sigüenza (1917) [ne0056].txt
ne0057,Gabriel Miró,El humo dormido,,1919,1910s,novela,philosophical,male,Textos por decada/1910s/Gabriel Miró - El humo dormido (1919) [ne0057].txt
ne0207,José Ortega Munilla,El paño pardo,Crónica de un villorrio en 1890,1914,1910s,novela,naturalist,male,Textos por decada/1910s/José Ortega Munilla - El paño pardo. Crónica de un villorrio en 1890 (1914) [ne0207].txt
ne0291,"Azorín, José Martínez Ruiz",Tomás Rueda,,1915,1910s,?,bildungsroman,male,"Textos por decada/1910s/Azorín, José Martínez Ruiz - Tomás Rueda (1915) [ne0291].txt"
ne0150,José Mª Salaverría,La Virgen de Aránzazu,Novela,1910,1910s,novela,realist,male,Textos por decada/1910s/José Mª Salaverría - La Virgen de Aránzazu. Novela (1910) [ne0150].txt
ne0318,Felipe Trigo,Mi media naranja,,1910,1910s,novela,erotic,male,Textos por decada/1910s/Felipe Trigo - Mi media naranja (1910) [ne0318].txt
ne0227,Felipe Trigo,El médico rural,,1912,1910s,novela,realist,male,Textos por decada/1910s/Felipe Trigo - El médico rural (1912) [ne0227].txt
ne0156,Felipe Trigo,Los abismos,,1913,1910s,novela,realist,male,Textos por decada/1910s/Felipe Trigo - Los abismos (1913) [ne0156].txt
ne0159,Felipe Trigo,Jarrapellejos,"Vida arcaica, feliz e independiente de un español representativo",1914,1910s,novela,realist,male,"Textos por decada/1910s/Felipe Trigo - Jarrapellejos. Vida arcaica, feliz e independiente de un español representativo (1914) [ne0159].txt"
ne0226,Felipe Trigo,Si sé por qué,Novela,1916,1910s,novela,erotic,male,Textos por decada/1910s/Felipe Trigo - Si sé por qué. Novela (1916) [ne0226].txt
ne0073,Miguel de Unamuno,Niebla,,1914,1910s,novela,philosophical,male,Textos por decada/1910s/Miguel de Unamuno - Niebla (1914) [ne0073].txt
ne0069,Miguel de Unamuno,Abel Sánchez,Una historia de pasión,1917,1910s,novela,philosophical,male,Textos por decada/1910s/Miguel de Unamuno - Abel Sánchez. Una historia de pasión (1917) [ne0069].txt
ne0212,Armando Palacio Valdés,Papeles del Doctor Angelico,,1911,1910s,novela,realist,male,Textos por decada/1910s/Armando Palacio Valdés - Papeles del Doctor Angelico (1911) [ne0212].txt
ne0373,Antonio de Hoyos y Vinent,El monstruo,,1915,1910s,novela,erotic,male,Textos por decada/1910s/Antonio de Hoyos y Vinent - El monstruo (1915) [ne0373].txt
ne0023,"Valle-Inclán, Ramón del",La lámpara maravillosa,Ejercicios espirituales,1916,1910s,?,philosophical,male,"Textos por decada/1910s/Valle-Inclán, Ramón del - La lámpara maravillosa. Ejercicios espirituales (1916) [ne0023].txt"
ne0037,"Valle-Inclán, Ramón del",La media noche,visión estelar de un momento de guerra,1917,1910s,?,historical,male,"Textos por decada/1910s/Valle-Inclán, Ramón del - La media noche. visión estelar de un momento de guerra (1917) [ne0037].txt"
ne0180,Manuel Azaña,El Jardín de los frailes,,1927,1920s,novela,bildungsroman,male,Textos por decada/1920s/Manuel Azaña - El Jardín de los frailes (1927) [ne0180].txt
ne0131,Carmen de Burgos,Los espirituados,Novela,1923,1920s,novela,naturalist,male,Textos por decada/1920s/Carmen de Burgos - Los espirituados. Novela (1923) [ne0131].txt
ne0263,Vicente Blasco Ibáñez,La tierra de todos,(Novela),1922,1920s,novela,realist,male,Textos por decada/1920s/Vicente Blasco Ibáñez - La tierra de todos. (Novela) (1922) [ne0263].txt
ne0266,Vicente Blasco Ibáñez,El paraíso de las mujeres,,1922,1920s,novela,adventure,male,Textos por decada/1920s/Vicente Blasco Ibáñez - El paraíso de las mujeres (1922) [ne0266].txt
ne0166,Vicente Blasco Ibáñez,La reina Calafia,,1923,1920s,novela,adventure,male,Textos por decada/1920s/Vicente Blasco Ibáñez - La reina Calafia (1923) [ne0166].txt
ne0267,Vicente Blasco Ibáñez,El Papa del mar,,1925,1920s,novela,historical,male,Textos por decada/1920s/Vicente Blasco Ibáñez - El Papa del mar (1925) [ne0267].txt
ne0269,Vicente Blasco Ibáñez,En busca del Gran Kan,,1928,1920s,novela,historical,male,Textos por decada/1920s/Vicente Blasco Ibáñez - En busca del Gran Kan (1928) [ne0269].txt
ne0270,Vicente Blasco Ibáñez,El caballero de la Virgen,,1929,1920s,novela,historical,male,Textos por decada/1920s/Vicente Blasco Ibáñez - El caballero de la Virgen (1929) [ne0270].txt
ne0059,Gabriel Miró,Nuestro Padre San Daniel,Novela de capellanes y devotos,1921,1920s,novela,realist,male,Textos por decada/1920s/Gabriel Miró - Nuestro Padre San Daniel. Novela de capellanes y devotos (1921) [ne0059].txt
ne0060,Gabriel Miró,Niño y grande,,1922,1920s,novela,autobiographical,male,Textos por decada/1920s/Gabriel Miró - Niño y grande (1922) [ne0060].txt
ne0061,Gabriel Miró,El obispo leproso,novela,1926,1920s,novela,bildungsroman,male,Textos por decada/1920s/Gabriel Miró - El obispo leproso. novela (1926) [ne0061].txt
ne0390,Eugenio Noel,Las siete Cucas,Una mancebía en Castilla,1927,1920s,novela,social,male,Textos por decada/1920s/Eugenio Noel - Las siete Cucas. Una mancebía en Castilla (1927) [ne0390].txt
ne0072,Miguel de Unamuno,La tía Tula,Como se hace una novela,1921,1920s,novela,bildungsroman,male,Textos por decada/1920s/Miguel de Unamuno - La tía Tula. Como se hace una novela (1921) [ne0072].txt
ne0329,Armando Palacio Valdés,La novela de un novelista,Escenas de la infancia y adolescencia,1921,1920s,?,bildungsroman,male,Textos por decada/1920s/Armando Palacio Valdés - La novela de un novelista. Escenas de la infancia y adolescencia (1921) [ne0329].txt
ne0039,Eduardo Zamacois,Memorias de un vagón de ferrocarril,,1921,1920s,novela,adventure,male,Textos por decada/1920s/Eduardo Zamacois - Memorias de un vagón de ferrocarril (1921) [ne0039].txt
ne0030,"Valle-Inclán, Ramón del",Tirano banderas,Novela de tierra caliente,1926,1920s,novela,historical,male,"Textos por decada/1920s/Valle-Inclán, Ramón del - Tirano banderas. Novela de tierra caliente (1926) [ne0030].txt"
ne0033,"Valle-Inclán, Ramón del",La Corte de los Milagros,,1927,1920s,novela,historical,male,"Textos por decada/1920s/Valle-Inclán, Ramón del - La Corte de los Milagros (1927) [ne0033].txt"
ne0035,"Valle-Inclán, Ramón del",Viva mi dueño,,1928,1920s,novela,historical,male,"Textos por decada/1920s/Valle-Inclán, Ramón del - Viva mi dueño (1928) [ne0035].txt"
ne0181,Manuel Azaña,La velada en Benicarló,Diálogo de la guerra de España,1939,1930s,novela,dialogue,male,Textos por decada/1930s/Manuel Azaña - La velada en Benicarló. Diálogo de la guerra de España (1939) [ne0181].txt
ne0223,Mauricio Bacarisse,Los terribles amores de Agliberto y Celedonia,Novela,1931,1930s,novela,erotic,male,Textos por decada/1930s/Mauricio Bacarisse - Los terribles amores de Agliberto y Celedonia. Novela (1931) [ne0223].txt
ne0380,Agustín Espinosa,Crimen,,1934,1930s,novela,vanguardist,male,Textos por decada/1930s/Agustín Espinosa - Crimen (1934) [ne0380].txt
ne0217,Antonio Machado,De un cancionero apócrifo,,1933,1930s,?,philosophical,male,Textos por decada/1930s/Antonio Machado - De un cancionero apócrifo (1933) [ne0217].txt
ne0177,Antonio Machado,Juan de Mairena,"sentencias, donaires, apuntes y recuerdos de un profesor apócrifo",1936,1930s,?,philosophical,male,"Textos por decada/1930s/Antonio Machado - Juan de Mairena. sentencias, donaires, apuntes y recuerdos de un profesor apócrifo (1936) [ne0177].txt"
ne0330,Andres Carranque de Ríos,Cinematógrafo,Novela,1936,1930s,novela,realist,male,Textos por decada/1930s/Andres Carranque de Ríos - Cinematógrafo. Novela (1936) [ne0330].txt
ne0074,Miguel de Unamuno,"San Manuel Bueno, mártir",,1931,1930s,novela,philosophical,male,"Textos por decada/1930s/Miguel de Unamuno - San Manuel Bueno, mártir (1931) [ne0074].txt"
ne0211,Armando Palacio Valdés,Sinfonía Pastoral,Novela de costumbres campesinas,1931,1930s,novela,autobiographical,male,Textos por decada/1930s/Armando Palacio Valdés - Sinfonía Pastoral. Novela de costumbres campesinas (1931) [ne0211].txt
ne0036,"Valle-Inclán, Ramón del",Baza de espadas,,1932,1930s,novela,historical,male,"Textos por decada/1930s/Valle-Inclán, Ramón del - Baza de espadas (1932) [ne0036].txt"
