idno,autor,titulo,subtitulo,anio,decada,genero,subgenero,genero_autor,archivo
ne0082,Emilia Pardo Bazán,La piedra angular,,1891,1890s,novela,philosophical,female,Textos por decada/1890s/Emilia Pardo Bazán - La piedra angular (1891) [ne0082].txt
ne0103,Emilia Pardo Bazán,El tesoro de Gastón,,1897,1890s,novela,realist,female,Textos por decada/1890s/Emilia Pardo Bazán - El tesoro de Gastón (1897) [ne0103].txt
ne0102,Emilia Pardo Bazán,El saludo de las brujas,,1899,1890s,novela,realist,female,Textos por decada/1890s/Emilia Pardo Bazán - El saludo de las brujas (1899) [ne0102].txt
ne0157,Luis Coloma,Pequeñeces,,1891,1890s,novela,realist,male,Textos por decada/1890s/Luis Coloma - Pequeñeces (1891) [ne0157].txt
ne0215,Rubén Darío,El hombre de oro,,1897,1890s,novela,historical,male,Textos por decada/1890s/Rubén Darío - El hombre de oro (1897) [ne0215].txt
ne0006,Benito Pérez Galdós,Ángel Guerra,,1891,1890s,novela,bildungsroman,male,Textos por decada/1890s/Benito Pérez Galdós - Ángel Guerra (1891) [ne0006].txt
ne0005,Benito Pérez Galdós,Tristana,,1892,1890s,novela,bildungsroman,male,Textos por decada/1890s/Benito Pérez Galdós - Tristana (1892) [ne0005].txt
ne0275,Benito Pérez Galdós,La loca de la casa,comedia en cuatro actos,1892,1890s,novela,dialogue,male,Textos por decada/1890s/Benito Pérez Galdós - La loca de la casa. comedia en cuatro actos (1892) [ne0275].txt
ne0003,Benito Pérez Galdós,Nazarín,,1895,1890s,novela,realist,male,Textos por decada/1890s/Benito Pérez Galdós - Nazarín (1895) [ne0003].txt
ne0004,Benito Pérez Galdós,Halma,,1895,1890s,novela,realist,male,Textos por decada/1890s/Benito Pérez Galdós - Halma (1895) [ne0004].txt
ne0276,Benito Pérez Galdós,El abuelo,Novela en cinco jornadas,1897,1890s,novela,dialogue,male,Textos por decada/1890s/Benito Pérez Galdós - El abuelo. Novela en cinco jornadas (1897) [ne0276].txt
ne0277,Benito Pérez Galdós,Mendizábal,"Episodios nacionales, libro segundo de la serie tercera",1898,1890s,novela,historical,male,"Textos por decada/1890s/Benito Pérez Galdós - Mendizábal. Episodios nacionales, libro segundo de la serie tercera (1898) [ne0277].txt"
ne0278,Benito Pérez Galdós,Luchana,"Episodios nacionales, libro cuarto de la serie tercera",1899,1890s,novela,historical,male,"Textos por decada/1890s/Benito Pérez Galdós - Luchana. Episodios nacionales, libro cuarto de la serie tercera (1899) [ne0278].txt"
ne0279,Benito Pérez Galdós,La estafeta romántica,"Episodios nacionales, libro sexto de la serie tercera",1899,1890s,novela,historical,male,"Textos por decada/1890s/Benito Pérez Galdós - La estafeta romántica. Episodios nacionales, libro sexto de la serie tercera (1899) [ne0279].txt"
ne0130,Ángel Ganivet,La conquista del reino de Maya,por el último conquistador español Pio Cid,1897,1890s,novela,historical,male,Textos por decada/1890s/Ángel Ganivet - La conquista del reino de Maya. por el último conquistador español Pio Cid (1897) [ne0130].txt
ne0134,Ángel Ganivet,Los trabajos del infatigable creador Pío Cid,,1897,1890s,novela,philosophical,male,Textos por decada/1890s/Ángel Ganivet - Los trabajos del infatigable creador Pío Cid (1897) [ne0134].txt
ne0132,Ángel Ganivet,Cartas finlandesas,,1898,1890s,?,philosophical,male,Textos por decada/1890s/Ángel Ganivet - Cartas finlandesas (1898) [ne0132].txt
ne0327,Vicente Blasco Ibáñez,La araña negra,,1892,1890s,novela,bildungsroman,male,Textos por decada/1890s/Vicente Blasco Ibáñez - La araña negra (1892) [ne0327].txt
ne0328,Vicente Blasco Ibáñez,La araña negra,,1892,1890s,novela,bildungsroman,male,Textos por decada/1890s/Vicente Blasco Ibáñez - La araña negra (1892) [ne0328].txt
ne0163,Vicente Blasco Ibáñez,Arroz y Tartana,,1894,1890s,novela,realist,male,Textos por decada/1890s/Vicente Blasco Ibáñez - Arroz y Tartana (1894) [ne0163].txt
ne0252,Vicente Blasco Ibáñez,Flor de mayo,,1895,1890s,novela,realist,male,Textos por decada/1890s/Vicente Blasco Ibáñez - Flor de mayo (1895) [ne0252].txt
ne0164,Vicente Blasco Ibáñez,La Barraca,,1898,1890s,novela,realist,male,Textos por decada/1890s/Vicente Blasco Ibáñez - La Barraca (1898) [ne0164].txt
ne0288,Silverio Lanza,Ni en la vida ni en la muerte,,1890,1890s,novela,realist,male,Textos por decada/1890s/Silverio Lanza - Ni en la vida ni en la muerte (1890) [ne0288].txt
ne0289,Silverio Lanza,Desde la quilla hasta el tope,,1891,1890s,novela,bildungsroman,male,Textos por decada/1890s/Silverio Lanza - Desde la quilla hasta el tope (1891) [ne0289].txt
ne0192,Silverio Lanza,Artuña,,1893,1890s,novela,sentimental,male,Textos por decada/1890s/Silverio Lanza - Artuña (1893) [ne0192].txt
ne0135,"Alas, Leopoldo",Su único hijo,,1891,1890s,novela,realist,male,"Textos por decada/1890s/Alas, Leopoldo - Su único hijo (1891) [ne0135].txt"
ne0170,"Alas, Leopoldo",Cuesta abajo,,1891,1890s,novela,sentimental,male,"Textos por decada/1890s/Alas, Leopoldo - Cuesta abajo (1891) [ne0170].txt"
ne0297,José María de Pereda,Nubes de estío,,1891,1890s,novela,realist,male,Textos por decada/1890s/José María de Pereda - Nubes de estío (1891) [ne0297].txt
ne0298,José María de Pereda,Al primer vuelo,,1891,1890s,novela,realist,male,Textos por decada/1890s/José María de Pereda - Al primer vuelo (1891) [ne0298].txt
ne0145,José María de Pereda,Peñas arriba,,1895,1890s,novela,realist,male,Textos por decada/1890s/José María de Pereda - Peñas arriba (1895) [ne0145].txt
ne0299,José María de Pereda,Pachín González,,1896,1890s,novela,historical,male,Textos por decada/1890s/José María de Pereda - Pachín González (1896) [ne0299].txt
ne0158,Jacinto Octavio Picón,La honrada,Novela de costumbres contemporáneas,1890,1890s,novela,realist,male,Textos por decada/1890s/Jacinto Octavio Picón - La honrada. Novela de costumbres contemporáneas (1890) [ne0158].txt
ne0155,Jacinto Octavio Picón,Dulce y sabrosa,,1891,1890s,novela,erotic,male,Textos por decada/1890s/Jacinto Octavio Picón - Dulce y sabrosa (1891) [ne0155].txt
ne0395,Salvador Rueda,La reja,Novela andaluza,1890,1890s,novela,sentimental,male,Textos por decada/1890s/Salvador Rueda - La reja. Novela andaluza (1890) [ne0395].txt
ne0396,Salvador Rueda,La gitana,Idilio en la sierra: Novela andaluza,1892,1890s,novela,social,male,Textos por decada/1890s/Salvador Rueda - La gitana. Idilio en la sierra - Novela andaluza (1892) [ne0396].txt
ne0114,Miguel de Unamuno,Paz en la guerra,,1897,1890s,novela,historical,male,Textos por decada/1890s/Miguel de Unamuno - Paz en la guerra (1897) [ne0114].txt
ne0312,Armando Palacio Valdés,La espuma,,1890,1890s,novela,sentimental,male,Textos por decada/1890s/Armando Palacio Valdés - La espuma (1890) [ne0312].txt
ne0313,Armando Palacio Valdés,La fe,novela,1892,1890s,novela,realist,male,Textos por decada/1890s/Armando Palacio Valdés - La fe. novela (1892) [ne0313].txt
ne0309,Armando Palacio Valdés,El origen del pensamiento,,1893,1890s,novela,realist,male,Textos por decada/1890s/Armando Palacio Valdés - El origen del pensamiento (1893) [ne0309].txt
ne0314,Armando Palacio Valdés,El maestrante,novela,1893,1890s,novela,realist,male,Textos por decada/1890s/Armando Palacio Valdés - El maestrante. novela (1893) [ne0314].txt
ne0311,Armando Palacio Valdés,Los majos de Cádiz,novela de costumbres,1896,1890s,novela,sentimental,male,Textos por decada/1890s/Armando Palacio Valdés - Los majos de Cádiz. novela de costumbres (1896) [ne0311].txt
ne0306,Armando Palacio Valdés,La alegría del capitán Ribot,,1899,1890s,novela,realist,male,Textos por decada/1890s/Armando Palacio Valdés - La alegría del capitán Ribot (1899) [ne0306].txt
ne0310,Armando Palacio Valdés,La hermana San Sulpicio,,1899,1890s,novela,realist,male,Textos por decada/1890s/Armando Palacio Valdés - La hermana San Sulpicio (1899) [ne0310].txt
ne0152,Juan Valera,Juanita la Larga,,1896,1890s,novela,realist,male,Textos por decada/1890s/Juan Valera - Juanita la Larga (1896) [ne0152].txt
ne0151,Juan Valera,Genio y figura...,,1897,1890s,novela,bildungsroman,male,Textos por decada/1890s/Juan Valera - Genio y figura... (1897) [ne0151].txt
ne0153,Juan Valera,Morsamor,peregrinaciones heroicas y lances de amor y fortuna de Miguel de Zuheros y Tiburcio de Simahonda,1899,1890s,novela,fantastic,male,Textos por decada/1890s/Juan Valera - Morsamor. peregrinaciones heroicas y lances de amor y fortuna de Miguel de Zuheros y Tiburcio de Simahonda (1899) [ne0153].txt
ne0008,Eduardo Zamacois,La enferma,Novela,1896,1890s,novela,erotic,male,Textos por decada/1890s/Eduardo Zamacois - La enferma. Novela (1896) [ne0008].txt
ne0010,Manuel Ciges Aparicio,El Vicario,Novela,1905,1900s,novela,philosophical,male,Textos por decada/1900s/Manuel Ciges Aparicio - El Vicario. Novela (1905) [ne0010].txt
ne0101,Emilia Pardo Bazán,El Niño de Guzmán,,1900,1900s,novela,realist,female,Textos por decada/1900s/Emilia Pardo Bazán - El Niño de Guzmán (1900) [ne0101].txt
ne0107,Emilia Pardo Bazán,Misterio,,1902,1900s,novela,historical,female,Textos por decada/1900s/Emilia Pardo Bazán - Misterio (1902) [ne0107].txt
ne0084,Emilia Pardo Bazán,La quimera,,1905,1900s,novela,sentimental,female,Textos por decada/1900s/Emilia Pardo Bazán - La quimera (1905) [ne0084].txt
ne0085,Emilia Pardo Bazán,La sirena negra,,1908,1900s,novela,erotic,female,Textos por decada/1900s/Emilia Pardo Bazán - La sirena negra (1908) [ne0085].txt
ne0387,Luis Coloma,Jeromín,Estudios históricos sobre el siglo XVI,1905,1900s,novela,historical,male,Textos por decada/1900s/Luis Coloma - Jeromín. Estudios históricos sobre el siglo XVI (1905) [ne0387].txt
ne0280,Benito Pérez Galdós,Bodas reales,"Episodios nacionales, libro décimo de la serie tercera",1900,1900s,novela,historical,male,"Textos por decada/1900s/Benito Pérez Galdós - Bodas reales. Episodios nacionales, libro décimo de la serie tercera (1900) [ne0280].txt"
ne0281,Benito Pérez Galdós,Narváez,"Episodios nacionales, libro segundo de la serie cuarta",1902,1900s,novela,historical,male,"Textos por decada/1900s/Benito Pérez Galdós - Narváez. Episodios nacionales, libro segundo de la serie cuarta (1902) [ne0281].txt"
ne0282,Benito Pérez Galdós,O'Donnell,"Episodios nacionales, libro quinto de la serie cuarta",1904,1900s,novela,historical,male,"Textos por decada/1900s/Benito Pérez Galdós - O'Donnell. Episodios nacionales, libro quinto de la serie cuarta (1904) [ne0282].txt"
ne0283,Benito Pérez Galdós,La vuelta al mundo en la «Numancia»,"Episodios nacionales, libro octavo de la serie cuarta",1906,1900s,novela,historical,male,"Textos por decada/1900s/Benito Pérez Galdós - La vuelta al mundo en la «Numancia». Episodios nacionales, libro octavo de la serie cuarta (1906) [ne0283].txt"
ne0251,Benito Pérez Galdós,El caballero encantado,Cuento real… inverosimil,1909,1900s,novela,philosophical,male,Textos por decada/1900s/Benito Pérez Galdós - El caballero encantado. Cuento real… inverosimil (1909) [ne0251].txt
ne0253,Vicente Blasco Ibáñez,Entre naranjos,,1900,1900s,novela,bildungsroman,male,Textos por decada/1900s/Vicente Blasco Ibáñez - Entre naranjos (1900) [ne0253].txt
ne0254,Vicente Blasco Ibáñez,Sonnica la cortesana,,1901,1900s,novela,historical,male,Textos por decada/1900s/Vicente Blasco Ibáñez - Sonnica la cortesana (1901) [ne0254].txt
ne0255,Vicente Blasco Ibáñez,Cañas y barro,,1902,1900s,novela,realist,male,Textos por decada/1900s/Vicente Blasco Ibáñez - Cañas y barro (1902) [ne0255].txt
ne0256,Vicente Blasco Ibáñez,La catedral,,1903,1900s,novela,bildungsroman,male,Textos por decada/1900s/Vicente Blasco Ibáñez - La catedral (1903) [ne0256].txt
ne0257,Vicente Blasco Ibáñez,El intruso,,1904,1900s,novela,realist,male,Textos por decada/1900s/Vicente Blasco Ibáñez - El intruso (1904) [ne0257].txt
ne0019,Vicente Blasco Ibáñez,La bodega,Novela,1905,1900s,novela,realist,male,Textos por decada/1900s/Vicente Blasco Ibáñez - La bodega. Novela (1905) [ne0019].txt
ne0258,Vicente Blasco Ibáñez,La horda,,1905,1900s,novela,realist,male,Textos por decada/1900s/Vicente Blasco Ibáñez - La horda (1905) [ne0258].txt
ne0259,Vicente Blasco Ibáñez,La maja desnuda,,1906,1900s,novela,realist,male,Textos por decada/1900s/Vicente Blasco Ibáñez - La maja desnuda (1906) [ne0259].txt
ne0260,Vicente Blasco Ibáñez,Sangre y arena,,1908,1900s,novela,bildungsroman,male,Textos por decada/1900s/Vicente Blasco Ibáñez - Sangre y arena (1908) [ne0260].txt
ne0261,Vicente Blasco Ibáñez,Luna Benamor,,1909,1900s,novela,realist,male,Textos por decada/1900s/Vicente Blasco Ibáñez - Luna Benamor (1909) [ne0261].txt
ne0193,Silverio Lanza,La rendición de Santiago,,1907,1900s,novela,bildungsroman,male,Textos por decada/1900s/Silverio Lanza - La rendición de Santiago (1907) [ne0193].txt
ne0290,Silverio Lanza,Los gusanos,,1909,1900s,novela,realist,male,Textos por decada/1900s/Silverio Lanza - Los gusanos (1909) [ne0290].txt
ne0095,Ramiro de Maeztu,La guerra del Transvaal y los misterios de la Banca de Londres,,1901,1900s,novela,historical,male,Textos por decada/1900s/Ramiro de Maeztu - La guerra del Transvaal y los misterios de la Banca de Londres (1901) [ne0095].txt
ne0040,Gabriel Miró,La mujer de Ojeda,Ensayo de novela,1901,1900s,novela,sentimental,male,Textos por decada/1900s/Gabriel Miró - La mujer de Ojeda. Ensayo de novela (1901) [ne0040].txt
ne0041,Gabriel Miró,Hilván de escenas,,1903,1900s,novela,realist,male,Textos por decada/1900s/Gabriel Miró - Hilván de escenas (1903) [ne0041].txt
ne0042,Gabriel Miró,Del vivir,Apuntes de parajes leprosos,1904,1900s,novela,autobiographical,male,Textos por decada/1900s/Gabriel Miró - Del vivir. Apuntes de parajes leprosos (1904) [ne0042].txt
ne0043,Gabriel Miró,Nomada,De la falta de amor,1908,1900s,novela,bildungsroman,male,Textos por decada/1900s/Gabriel Miró - Nomada. De la falta de amor (1908) [ne0043].txt
ne0044,Gabriel Miró,La novela de mi amigo,,1908,1900s,novela,bildungsroman,male,Textos por decada/1900s/Gabriel Miró - La novela de mi amigo (1908) [ne0044].txt
ne0045,Gabriel Miró,La palma rota,,1909,1900s,novela,sentimental,male,Textos por decada/1900s/Gabriel Miró - La palma rota (1909) [ne0045].txt
ne0046,Gabriel Miró,El hijo santo,,1909,1900s,novela,realist,male,Textos por decada/1900s/Gabriel Miró - El hijo santo (1909) [ne0046].txt
ne0047,Gabriel Miró,Amores de Antón Hernando,,1909,1900s,novela,autobiographical,male,Textos por decada/1900s/Gabriel Miró - Amores de Antón Hernando (1909) [ne0047].txt
ne0397,Salvador Rueda,La cópula,Novela de amor,1906,1900s,novela,sentimental,male,Textos por decada/1900s/Salvador Rueda - La cópula. Novela de amor (1906) [ne0397].txt
ne0160,Felipe Trigo,Del frío al fuego,Ellas a bordo,1906,1900s,novela,erotic,male,Textos por decada/1900s/Felipe Trigo - Del frío al fuego. Ellas a bordo (1906) [ne0160].txt
ne0228,Felipe Trigo,En la carrera,,1909,1900s,novela,erotic,male,Textos por decada/1900s/Felipe Trigo - En la carrera (1909) [ne0228].txt
ne0070,Miguel de Unamuno,Amor y pedagogía,,1902,1900s,novela,philosophical,male,Textos por decada/1900s/Miguel de Unamuno - Amor y pedagogía (1902) [ne0070].txt
ne0208,Armando Palacio Valdés,La aldea perdida,novela-poema de costumbres campesinas,1903,1900s,novela,realist,male,Textos por decada/1900s/Armando Palacio Valdés - La aldea perdida. novela-poema de costumbres campesinas (1903) [ne0208].txt
